"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"Matches"
77;Thievy Bifouma\Thievy-Bifouma;cg CGO;MFFW;Yeni Mal'spor;27;1992;18;14;1266;6;1;0;0;2;0;0.43;0.07;0.50;0.43;0.50;Matches
78;Tayfur Bingöl\Tayfur-Bingol;tr TUR;MF;Alanyaspor;26;1993;1;0;4;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
79;André Biyogo Poko\Andre-Biyogo-Poko;ga GAB;MF;Göztepe;26;1993;9;8;626;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;Matches
80;Mattias Bjärsmyr\Mattias-Bjarsmyr;se SWE;DF;Gençlerbirliği;33;1986;8;7;630;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
81;Gustavo Blanco Leschuk\Gustavo-Blanco-Leschuk;ar ARG;FW;Antalyaspor;27;1991;16;11;1136;3;2;0;0;3;0;0.24;0.16;0.40;0.24;0.40;Matches
82;Kevin-Prince Boateng\Kevin-Prince-Boateng;gh GHA;MF;Beşiktaş;32;1987;5;3;307;2;0;0;0;1;0;0.59;0.00;0.59;0.59;0.59;Matches
83;Ruud Boffin\Ruud-Boffin;be BEL;GK;Antalyaspor;31;1987;16;16;1440;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
84;Fernando Boldrin\Fernando-Boldrin;br BRA;MFFW;Rizespor;30;1989;20;20;1771;4;1;1;2;3;0;0.20;0.05;0.25;0.15;0.20;Matches
85;Celso Borges\Celso-Borges;cr CRC;MFDF;Göztepe;31;1988;12;6;589;1;0;0;0;1;0;0.15;0.00;0.15;0.15;0.15;Matches
86;Andriy Boryachuk\Andriy-Boryachuk;ua UKR;DFFW;Rizespor;23;1996;1;0;7;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
87;Tyler Boyd\Tyler-Boyd;us USA;MF;Beşiktaş;24;1994;13;7;565;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
88;Tomáš Břečka\Tomas-Brecka;cz CZE;DF;Kasımpaşa;25;1994;7;7;553;1;0;0;0;1;0;0.16;0.00;0.16;0.16;0.16;Matches
89;Onur Bulut\Onur-Bulut;tr TUR;DF;Alanyaspor;25;1994;14;9;868;1;3;0;0;2;0;0.10;0.31;0.41;0.10;0.41;Matches
90;Umut Bulut\Umut-Bulut;tr TUR;FW;Yeni Mal'spor;36;1983;6;4;391;1;1;0;0;0;0;0.23;0.23;0.46;0.23;0.46;Matches
91;Umut Bulut\Umut-Bulut;tr TUR;MFFW;Kayserispor;36;1983;11;11;905;3;0;0;0;3;1;0.30;0.00;0.30;0.30;0.30;Matches
92;Adem Büyük\Adem-Buyuk;tr TUR;FWMF;Galatasaray;31;1987;20;8;844;6;0;2;2;3;0;0.64;0.00;0.64;0.43;0.43;Matches
93;Musa Çağıran\Musa-Cagiran;tr TUR;MF;Alanyaspor;26;1992;13;3;329;0;1;0;0;0;0;0.00;0.27;0.27;0.00;0.27;Matches
94;Rahman Çağıran\Rahman-Cagiran;tr TUR;MF;Yeni Mal'spor;24;1995;5;1;123;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
95;Oğulcan Çağlayan\Ogulcan-Caglayan;tr TUR;FWMF;Rizespor;23;1996;18;13;1142;3;2;0;0;4;0;0.24;0.16;0.39;0.24;0.39;Matches
96;Júnior Caiçara\Junior-Caicara;br BRA;DF;Başakşehir;30;1989;23;23;2070;0;3;0;0;1;0;0.00;0.13;0.13;0.00;0.13;Matches
97;Uğurcan Çakır\Ugurcan-Cakir;tr TUR;GK;Trabzonspor;23;1996;22;22;1946;0;1;0;0;5;0;0.00;0.05;0.05;0.00;0.05;Matches
98;Burak Çalık\Burak-Calik;tr TUR;MF;Denizlispor;30;1989;3;1;88;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
99;Samba Camara\Samba-Camara;fr FRA;DF;Sivasspor;26;1992;2;1;131;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
100;Tarık Çamdal\Tarik-Camdal;tr TUR;DFMF;Antalyaspor;28;1991;4;3;276;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
101;Ali Çamdalı\Ali-Camdali;tr TUR;MF;Konyaspor;35;1984;2;0;55;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
102;Gustavo Campanharo\Gustavo-Campanharo;br BRA;MF;Kayserispor;27;1992;7;6;565;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
103;Gastón Campi\Gaston-Campi;ar ARG;DF;Trabzonspor;28;1991;15;14;1260;0;1;0;0;4;0;0.00;0.07;0.07;0.00;0.07;Matches
104;Djalma Campos\Djalma-Campos;ao ANG;MF;Alanyaspor;32;1987;19;9;966;4;3;0;0;1;0;0.37;0.28;0.65;0.37;0.65;Matches
105;Mücahit Can Akçay\Mucahit-Can-Akcay;tr TUR;FW;Konyaspor;21;1998;7;1;105;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
106;Ahmet Can Arık\Ahmet-Can-Arik;tr TUR;DF;Ankaragücü;21;1997;1;0;;0;0;0;0;0;0;;;;;;Matches
107;Osman Can Çötür\Osman-Can-Cotur;tr TUR;DF;Kayserispor;17;2001;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
108;Ahmet Canbaz\Ahmet-Canbaz;tr TUR;MF;Trabzonspor;21;1998;4;1;67;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
109;Daniel Candeias\Daniel-Candeias;pt POR;MF;Gençlerbirliği;31;1988;23;23;1951;3;4;0;0;8;0;0.14;0.18;0.32;0.14;0.32;Matches
110;Héctor Canteros\Hector-Canteros;ar ARG;MF;Ankaragücü;30;1989;14;12;1055;1;1;0;0;4;0;0.09;0.09;0.17;0.09;0.17;Matches
111;Oğuzhan Çapar\Oguzhan-Capar;tr TUR;DF;Kayserispor;22;1996;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
112;José Carlos Marafona\Jose-Carlos-Marafona;pt POR;GK;Alanyaspor;32;1987;24;24;2160;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
113;André Castro\Andre-Castro;pt POR;MF;Göztepe;31;1988;21;16;1534;3;0;0;0;2;0;0.18;0.00;0.18;0.18;0.18;Matches
114;Steven Caulker\Steven-Caulker;eng ENG;DF;Alanyaspor;27;1991;20;19;1720;0;4;0;0;1;0;0.00;0.21;0.21;0.00;0.21;Matches
115;Özgür Çek\Ozgur-Cek;tr TUR;DF;Kasımpaşa;28;1991;4;3;288;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
116;Özgür Çek\Ozgur-Cek;tr TUR;DF;Denizlispor;28;1991;5;4;392;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
117;Alpay Çelebi\Alpay-Celebi;tr TUR;DF;Kayserispor;20;1999;1;1;5;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
118;Muğdat Çelik\Mugdat-Celik;tr TUR;FW;Gaziantep FK;29;1990;1;0;25;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
119;Korcan Çelikay\Korcan-Celikay;tr TUR;GK;Ankaragücü;31;1987;20;20;1800;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
120;Ondřej Čelůstka\Ondrej-Celustka;cz CZE;DF;Antalyaspor;30;1989;21;21;1876;1;0;0;0;4;0;0.05;0.00;0.05;0.05;0.05;Matches
121;Tarık Çetin\Tarik-Cetin;tr TUR;GK;Rizespor;22;1997;2;1;87;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;Matches
122;Oğuz Ceylan\Oguz-Ceylan;tr TUR;DFMF;Gaziantep FK;28;1990;21;21;1890;1;1;0;0;8;0;0.05;0.05;0.10;0.05;0.10;Matches
123;Ghaylène Chaalali\Ghaylene-Chaalali;tn TUN;MF;Yeni Mal'spor;25;1994;9;6;547;0;1;0;0;4;0;0.00;0.16;0.16;0.00;0.16;Matches
124;Aatif Chahechouhe\Aatif-Chahechouhe;ma MAR;MFFW;Antalyaspor;33;1986;17;13;1066;1;0;0;1;0;0;0.08;0.00;0.08;0.08;0.08;Matches
125;Dimitris Chatziisaias\Dimitris-Chatziisaias;gr GRE;DF;Rizespor;26;1992;9;8;680;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
126;Issam Chebake\Issam-Chebake;ma MAR;DF;Yeni Mal'spor;29;1989;17;17;1483;1;1;0;0;4;0;0.06;0.06;0.12;0.06;0.12;Matches
127;Aurélien Chedjou\Aurelien-Chedjou;cm CMR;DF;Başakşehir;34;1985;2;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
128;Raman Chibsah\Raman-Chibsah;gh GHA;MF;Gaziantep FK;26;1993;21;10;1112;1;0;0;0;5;0;0.08;0.00;0.08;0.08;0.08;Matches
129;Chico\Chico;br BRA;MFDF;Antalyaspor;32;1987;15;10;920;1;0;0;0;0;0;0.10;0.00;0.10;0.10;0.10;Matches
130;Nadir Çiftçi\Nadir-Ciftci;nl NED;MFFW;Gençlerbirliği;27;1992;13;5;464;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;Matches
131;Uğur Çiftçi\Ugur-Ciftci;tr TUR;DF;Sivasspor;27;1992;18;18;1529;1;2;0;0;6;1;0.06;0.12;0.18;0.06;0.18;Matches
132;Sadık Çiftpınar\Sadik-Ciftpinar;tr TUR;DF;Fenerbahçe;26;1993;4;2;133;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
133;Tolga Ciğerci\Tolga-Cigerci;tr TUR;MF;Fenerbahçe;27;1992;20;17;1331;2;2;0;0;2;0;0.14;0.14;0.27;0.14;0.27;Matches
134;Orkan Çınar\Orkan-Cinar;tr TUR;MF;Ankaragücü;23;1996;2;0;28;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
135;Orkan Çınar\Orkan-Cinar;tr TUR;MF;Beşiktaş;23;1996;3;0;44;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
136;Şamil Çinaz\Samil-Cinaz;tr TUR;MF;Kayserispor;33;1986;5;5;373;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
137;İsmail Çipe\Ismail-Cipe;tr TUR;GK;Kayserispor;24;1995;5;5;450;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
138;Papiss Cissé\Papiss-Cisse;sn SEN;FW;Alanyaspor;34;1985;23;20;1849;16;1;2;3;4;0;0.78;0.05;0.83;0.68;0.73;Matches
139;Emirhan Civelek\Emirhan-Civelek;tr TUR;DF;Kayserispor;19;2000;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
140;Gaël Clichy\Gael-Clichy;fr FRA;DF;Başakşehir;34;1985;21;21;1890;2;3;0;0;2;0;0.10;0.14;0.24;0.10;0.24;Matches
141;Isaac Cofie\Isaac-Cofie;gh GHA;MF;Sivasspor;27;1991;11;6;423;0;1;0;0;4;1;0.00;0.21;0.21;0.00;0.21;Matches
142;Kamil Çörekçi\Kamil-Corekci;tr TUR;MFDF;Trabzonspor;27;1992;12;10;899;0;1;0;0;2;0;0.00;0.10;0.10;0.00;0.10;Matches
143;Manuel da Costa\Manuel-da-Costa;ma MAR;DF;Trabzonspor;33;1986;3;3;270;1;0;0;0;1;0;0.33;0.00;0.33;0.33;0.33;Matches
144;Enzo Crivelli\Enzo-Crivelli;fr FRA;FW;Başakşehir;24;1995;21;21;1788;9;1;0;0;8;0;0.45;0.05;0.50;0.45;0.50;Matches
145;Erdon Daci\Erdon-Daci;mk MKD;MFFW;Konyaspor;21;1998;16;6;617;1;2;0;0;2;0;0.15;0.29;0.44;0.15;0.44;Matches
146;Nill De Pauw\Nill-De-Pauw;be BEL;MFFW;Rizespor;29;1990;7;6;425;0;2;0;0;1;0;0.00;0.42;0.42;0.00;0.42;Matches
147;Emre Demir\Emre-Demir;tr TUR;MFFW;Kayserispor;15;2004;11;5;501;1;0;0;0;1;0;0.18;0.00;0.18;0.18;0.18;Matches
148;Muhammet Demir\Muhammet-Demir;tr TUR;FW;Gaziantep FK;27;1992;14;9;704;2;0;0;2;1;0;0.26;0.00;0.26;0.26;0.26;Matches
149;Uğur Demirok\Ugur-Demirok;tr TUR;DF;Konyaspor;31;1988;3;3;270;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
150;İlhan Depe\Ilhan-Depe;tr TUR;MF;Kasımpaşa;26;1992;23;7;817;0;3;0;0;2;0;0.00;0.33;0.33;0.00;0.33;Matches
151;Eren Derdiyok\Eren-Derdiyok;ch SUI;FW;Göztepe;31;1988;5;3;266;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
152;Abdoulay Diaby\Abdoulay-Diaby;ml MLI;MF;Beşiktaş;28;1991;22;16;1342;2;0;0;0;0;0;0.13;0.00;0.13;0.13;0.13;Matches
153;Fallou Diagne\Fallou-Diagne;sn SEN;DF;Konyaspor;29;1989;4;3;270;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
154;Mbaye Diagne\Mbaye-Diagne;sn SEN;FW;Galatasaray;27;1991;3;3;203;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
155;Abdoulaye Diallo\Abdoulaye-Diallo;sn SEN;GK;Gençlerbirliği;27;1992;4;4;360;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
156;Sadio Diallo\Sadio-Diallo;gn GUI;MF;Gençlerbirliği;28;1990;6;1;158;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
157;Souleymane Diarra\Souleymane-Diarra;ml MLI;MF;Gaziantep FK;24;1995;20;12;1136;2;0;0;0;8;0;0.16;0.00;0.16;0.16;0.16;Matches
158;Soner Dikmen\Soner-Dikmen;tr TUR;MF;Gençlerbirliği;25;1993;3;0;59;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
