;;;;;;;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;
34;Thomas Kaminski\Thomas-Kaminski;be BEL;GK;be Gent;26;1992;8;8;720;9;1.13;25;17;.640;3;4;1;1;12.5;0;0;0;0;Matches
35;Erce Kardeşler\Erce-Kardesler;tr TUR;GK;tr Trabzonspor;25;1994;3;3;270;6;2.00;14;8;.571;0;0;3;0;0.0;0;0;0;0;Matches
36;Loris Karius\Loris-Karius;de GER;GK;tr Beşiktaş;26;1993;5;5;450;11;2.20;25;13;.560;1;0;4;0;0.0;0;0;0;0;Matches
37;Filip Kljajić\Filip-Kljajic;rs SRB;GK;rs Partizan;28;1990;1;0;20;1;4.50;2;1;.500;0;0;0;0;;0;0;0;0;Matches
38;Alexander Kofler\Alexander-Kofler;at AUT;GK;at Wolfsberger AC;32;1986;6;6;540;8;1.33;31;25;.806;1;2;3;1;16.7;2;2;0;0;Matches
39;Stanislav Kritsyuk\Stanislav-Kritsyuk;ru RUS;GK;ru Krasnodar;28;1990;3;3;270;4;1.33;11;7;.636;2;0;1;1;33.3;0;0;0;0;Matches
40;Bernd Leno\Bernd-Leno;de GER;GK;eng Arsenal;27;1992;2;2;210;2;0.86;7;5;.714;1;0;1;1;50.0;0;0;0;0;Matches
41;Diego López\Diego-Lopez;es ESP;GK;es Espanyol;37;1981;5;5;450;3;0.60;13;12;.846;3;2;0;3;60.0;2;1;1;0;Matches
42;Pau López\Pau-Lopez;es ESP;GK;it Roma;24;1994;7;6;568;5;0.79;18;15;.778;3;2;1;3;50.0;1;1;0;0;Matches
43;Agustín Marchesín\Agustin-Marchesin;ar ARG;GK;pt Porto;31;1988;8;8;720;14;1.75;30;18;.600;3;1;4;0;0.0;2;2;0;0;Matches
44;Nick Marsman\Nick-Marsman;nl NED;GK;nl Feyenoord;28;1990;2;2;180;5;2.50;8;4;.375;0;1;1;0;0.0;0;0;0;0;Matches
45;Emiliano Martínez\Emiliano-Martinez;ar ARG;GK;eng Arsenal;26;1992;6;6;540;7;1.17;26;19;.731;3;2;1;2;33.3;0;0;0;0;Matches
46;Matheus\Matheus;br BRA;GK;pt Braga;27;1992;4;4;360;5;1.25;18;12;.722;2;0;2;1;25.0;2;0;1;1;Matches
47;Luís Maximiano\Luis-Maximiano;pt POR;GK;pt Sporting CP;20;1999;4;3;353;7;1.78;17;13;.765;2;0;1;1;33.3;3;3;0;0;Matches
48;Allan McGregor\Allan-McGregor;sco SCO;GK;sco Rangers;37;1982;8;8;720;8;1.00;26;19;.692;4;3;1;3;37.5;0;0;0;0;Matches
49;Edouard Mendy\Edouard-Mendy;sn SEN;GK;fr Rennes;27;1992;4;4;274;6;1.97;13;8;.615;0;1;3;0;0.0;1;1;0;0;Matches
50;Simon Mignolet\Simon-Mignolet;be BEL;GK;be Club Brugge;31;1988;2;2;180;6;3.00;14;7;.643;0;1;1;0;0.0;1;1;0;0;Matches
51;Vanja Milinković-Savić\Vanja-Milinkovic-Savic;rs SRB;GK;be Standard Liège;22;1997;3;3;270;6;2.00;17;11;.647;1;0;2;1;33.3;0;0;0;0;Matches
52;Antonio Mirante\Antonio-Mirante;it ITA;GK;it Roma;36;1983;2;2;152;2;1.18;7;6;.714;0;2;0;0;0.0;0;0;0;0;Matches
53;Aleksandr Mokin\Aleksandr-Mokin;kz KAZ;GK;kz Astana FK;38;1981;1;0;64;6;8.44;11;6;.636;0;0;0;0;;2;2;0;0;Matches
54;Jessy Moulin\Jessy-Moulin;fr FRA;GK;fr Saint-Étienne;33;1986;2;2;180;2;1.00;9;6;.778;0;1;1;0;0.0;0;0;0;0;Matches
55;Đorđe Nikolić\Djordje-Nikolic;rs SRB;GK;ch Basel;22;1997;2;2;180;0;0.00;5;5;1.000;2;0;0;2;100.0;1;0;0;1;Matches
56;Jonas Omlin\Jonas-Omlin;ch SUI;GK;ch Basel;25;1994;6;6;540;4;0.67;16;14;.875;4;1;1;3;50.0;2;2;0;0;Matches
57;André Onana\Andre-Onana;cm CMR;GK;nl Ajax;23;1996;1;1;90;1;1.00;1;0;.000;1;0;0;0;0.0;0;0;0;0;Matches
58;Daniele Padelli\Daniele-Padelli;it ITA;GK;it Inter;33;1985;2;2;180;1;0.50;4;3;.750;2;0;0;1;50.0;0;0;0;0;Matches
59;Yuriy Pankiv\Yuriy-Pankiv;ua UKR;GK;ua FC Oleksandriya;34;1984;6;6;540;10;1.67;24;16;.667;0;3;3;0;0.0;2;2;0;0;Matches
60;Rui Patrício\Rui-Patricio;pt POR;GK;eng Wolves;31;1988;7;7;630;8;1.14;20;13;.650;4;1;2;3;42.9;1;1;0;0;Matches
61;Pavao Pervan\Pavao-Pervan;at AUT;GK;de Wolfsburg;31;1987;5;5;450;7;1.40;14;7;.500;2;2;1;1;20.0;0;0;0;0;Matches
62;Ilya Pomazun\Ilya-Pomazun;ru RUS;GK;ru CSKA Moscow;22;1996;1;1;90;0;0.00;4;4;1.000;1;0;0;1;100.0;0;0;0;0;Matches
63;Andrés Prieto\Andres-Prieto;es ESP;GK;es Espanyol;25;1993;3;3;270;7;2.33;12;5;.417;1;0;2;0;0.0;0;0;0;0;Matches
64;Silvio Proto\Silvio-Proto;be BEL;GK;it Lazio;36;1983;2;2;180;2;1.00;10;8;.800;1;0;1;1;50.0;0;0;0;0;Matches
65;Andriy Pyatov\Andriy-Pyatov;ua UKR;GK;ua Shakhtar;35;1984;2;2;180;4;2.00;9;6;.667;1;1;0;0;0.0;1;1;0;0;Matches
66;Renan Ribeiro\Renan-Ribeiro;br BRA;GK;pt Sporting CP;29;1990;5;5;393;5;1.15;23;19;.783;3;0;2;2;40.0;0;0;0;0;Matches
67;Sergio Romero\Sergio-Romero;ar ARG;GK;eng Manchester Utd;32;1987;6;6;540;1;0.17;9;8;.889;5;1;0;5;83.3;0;0;0;0;Matches
68;John Ruddy\John-Ruddy;eng ENG;GK;eng Wolves;32;1986;1;1;90;0;0.00;1;1;1.000;1;0;0;1;100.0;0;0;0;0;Matches
69;Stéphane Ruffier\Stephane-Ruffier;fr FRA;GK;fr Saint-Étienne;32;1986;4;4;360;6;1.50;8;4;.250;0;3;1;1;25.0;0;0;0;0;Matches
70;Robbin Ruiter\Robbin-Ruiter;nl NED;GK;nl PSV Eindhoven;32;1987;1;1;90;1;1.00;4;3;.750;1;0;0;0;0.0;0;0;0;0;Matches
71;Frederik Rønnow\Frederik-Ronnow;dk DEN;GK;de Eint Frankfurt;26;1992;5;5;450;7;1.40;20;13;.650;3;0;2;1;20.0;0;0;0;0;Matches
72;José Sá\Jose-Sa;pt POR;GK;gr Olympiacos;26;1993;2;2;210;2;0.86;7;5;.714;1;0;1;0;0.0;0;0;0;0;Matches
73;Tiago Sá\Tiago-Sa;pt POR;GK;pt Braga;24;1995;1;1;90;2;2.00;6;4;.667;1;0;0;0;0.0;0;0;0;0;Matches
74;Matvei Safonov\Matvei-Safonov;ru RUS;GK;ru Krasnodar;20;1999;3;3;270;7;2.33;21;15;.667;1;0;2;1;33.3;0;0;0;0;Matches
75;Məhəmmədəliyev Şahruddin Maqomedoviç\Mhmmdliyev-Sahruddin-Maqomedovic;az AZE;GK;az Qarabağ Ağdam;25;1994;1;1;90;1;1.00;3;2;.667;0;1;0;0;0.0;0;0;0;0;Matches
76;Romain Salin\Romain-Salin;fr FRA;GK;fr Rennes;35;1984;2;2;180;1;0.50;3;2;.667;1;0;1;1;50.0;0;0;0;0;Matches
77;Alexander Schlager\Alexander-Schlager;at AUT;GK;at LASK;23;1996;8;8;720;5;0.62;20;16;.850;5;2;1;4;50.0;2;2;0;0;Matches
78;João Miguel Macedo Silva\Joao-Miguel-Macedo-Silva;pt POR;GK;pt Vitória;24;1995;4;4;360;8;2.00;17;10;.529;1;0;3;0;0.0;0;0;0;0;Matches
79;Yann Sommer\Yann-Sommer;ch SUI;GK;de M'gladbach;30;1988;6;6;540;9;1.50;25;16;.640;2;2;2;1;16.7;0;0;0;0;Matches
80;David Soria\David-Soria;es ESP;GK;es Getafe;26;1993;3;3;270;2;0.67;3;2;.333;2;0;1;2;66.7;0;0;0;0;Matches
81;Cican Stankovic\Cican-Stankovic;at AUT;GK;at RB Salzburg;26;1992;2;2;180;6;3.00;15;9;.600;0;1;1;0;0.0;0;0;0;0;Matches
82;Vladimir Stojković\Vladimir-Stojkovic;rs SRB;GK;rs Partizan;36;1983;6;6;520;9;1.56;18;10;.556;2;2;2;0;0.0;1;1;0;0;Matches
83;Thomas Strakosha\Thomas-Strakosha;al ALB;GK;it Lazio;24;1995;4;4;360;7;1.75;9;3;.333;1;0;3;0;0.0;1;1;0;0;Matches
84;Kevin Trapp\Kevin-Trapp;de GER;GK;de Eint Frankfurt;29;1990;3;3;270;6;2.00;15;10;.667;1;1;1;0;0.0;1;1;0;0;Matches
85;Lars Unnerstall\Lars-Unnerstall;de GER;GK;nl PSV Eindhoven;29;1990;2;2;180;5;2.50;9;5;.556;0;1;1;0;0.0;1;1;0;0;Matches
86;Tomáš Vaclík\Tomas-Vaclik;cz CZE;GK;es Sevilla;30;1989;2;2;180;1;0.50;1;1;1.000;1;1;0;1;50.0;1;1;0;0;Matches
87;Bruno Varela\Bruno-Varela;pt POR;GK;nl Ajax;24;1994;1;1;90;2;2.00;4;2;.500;0;0;1;0;0.0;0;0;0;0;Matches
88;Kenneth Vermeer\Kenneth-Vermeer;nl NED;GK;nl Feyenoord;33;1986;4;4;360;4;1.00;12;9;.833;1;1;2;1;25.0;3;2;0;1;Matches
89;Odisseas Vlachodimos\Odisseas-Vlachodimos;gr GRE;GK;pt Benfica;25;1994;2;2;180;5;2.50;14;9;.643;0;1;1;0;0.0;0;0;0;0;Matches
90;Boy Waterman\Boy-Waterman;nl NED;GK;cy APOEL;35;1984;1;1;90;1;1.00;4;4;1.000;0;0;1;0;0.0;1;1;0;0;Matches
91;Utku Yuvakuran\Utku-Yuvakuran;tr TUR;GK;tr Beşiktaş;21;1997;1;1;90;4;4.00;7;2;.429;0;0;1;0;0.0;0;0;0;0;Matches
92;Jeroen Zoet\Jeroen-Zoet;nl NED;GK;nl PSV Eindhoven;28;1991;3;3;270;6;2.00;17;12;.706;1;1;1;1;33.3;1;1;0;0;Matches
93;Arild Østbø\Arild-Ostbo;no NOR;GK;no Rosenborg;28;1991;1;1;90;1;1.00;2;1;.500;0;1;0;0;0.0;0;0;0;0;Matches
