;;;;;;;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Penalty Kicks;Penalty Kicks;Penalty Kicks;Penalty Kicks;
12;Carlos Coronel\Carlos-Coronel;br BRA;GK;at RB Salzburg;22;1996;3;2;237;4;1.52;11;7;.636;1;1;0;0;0.0;0;0;0;0;Matches
13;Gaëtan Coucke\Gaetan-Coucke;be BEL;GK;be Genk;20;1998;5;5;450;16;3.20;35;18;.543;0;1;4;1;20.0;0;0;0;0;Matches
14;Thibaut Courtois\Thibaut-Courtois;be BEL;GK;es Real Madrid;27;1992;6;6;495;9;1.64;24;16;.667;2;2;2;2;33.3;1;1;0;0;Matches
15;Jaume Doménech\Jaume-Domenech;es ESP;GK;es Valencia;28;1990;2;2;180;4;2.00;7;3;.429;1;0;1;1;50.0;0;0;0;0;Matches
16;Ederson\Ederson;br BRA;GK;eng Manchester City;25;1993;6;6;495;3;0.55;12;10;.833;4;2;0;2;33.3;1;1;0;0;Matches
17;Paulo Gazzaniga\Paulo-Gazzaniga;ar ARG;GK;eng Tottenham;27;1992;4;4;360;5;1.25;22;15;.773;3;0;1;2;50.0;0;0;0;0;Matches
18;Pierluigi Gollini\Pierluigi-Gollini;it ITA;GK;it Atalanta;24;1995;7;7;630;13;1.86;31;19;.613;3;1;3;2;28.6;2;1;0;1;Matches
19;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;de RB Leipzig;29;1990;7;7;604;8;1.19;30;21;.733;4;2;1;2;28.6;0;0;0;0;Matches
20;Samir Handanović\Samir-Handanovic;si SVN;GK;it Inter;35;1984;6;6;540;9;1.50;29;21;.724;2;1;3;1;16.7;1;1;0;0;Matches
21;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;de Leverkusen;29;1989;6;6;540;9;1.50;28;19;.679;2;0;4;1;16.7;0;0;0;0;Matches
22;Mikhail Kerzhakov\Mikhail-Kerzhakov;ru RUS;GK;ru Zenit;32;1987;4;4;360;7;1.75;24;18;.750;1;0;3;1;25.0;1;1;0;0;Matches
23;Anton Kochenkov\Anton-Kochenkov;ru RUS;GK;ru Loko Moscow;32;1987;1;1;90;2;2.00;4;3;.750;0;0;1;0;0.0;2;1;1;0;Matches
24;Ondřej Kolář\Ondrej-Kolar;cz CZE;GK;cz Slavia Prague;24;1994;6;6;540;10;1.67;35;26;.714;0;2;4;1;16.7;0;0;0;0;Matches
25;Dominik Livaković\Dominik-Livakovic;hr CRO;GK;hr Dinamo Zagreb;24;1995;6;6;540;13;2.17;32;21;.656;1;2;3;1;16.7;2;2;0;0;Matches
26;Hugo Lloris\Hugo-Lloris;fr FRA;GK;eng Tottenham;32;1986;3;3;270;10;3.33;19;10;.579;0;1;2;0;0.0;2;2;0;0;Matches
27;Anthony Lopes\Anthony-Lopes;pt POR;GK;fr Lyon;28;1990;7;7;630;8;1.14;18;12;.667;3;2;2;2;28.6;2;2;0;0;Matches
28;Andrey Lunyov\Andrey-Lunyov;ru RUS;GK;ru Zenit;27;1991;2;2;180;2;1.00;14;13;.929;1;1;0;0;0.0;1;1;0;0;Matches
29;Mike Maignan\Mike-Maignan;fr FRA;GK;fr Lille;23;1995;6;6;522;14;2.41;31;19;.581;0;1;5;0;0.0;1;1;0;0;Matches
30;Guilherme Marinato\Guilherme-Marinato;ru RUS;GK;ru Loko Moscow;33;1985;5;5;450;9;1.80;35;28;.743;1;0;4;0;0.0;0;0;0;0;Matches
31;Alex Meret\Alex-Meret;it ITA;GK;it Napoli;22;1997;6;6;540;4;0.67;17;15;.882;3;3;0;3;50.0;2;2;0;0;Matches
32;Simon Mignolet\Simon-Mignolet;be BEL;GK;be Club Brugge;31;1988;6;6;540;12;2.00;24;12;.500;0;3;3;1;16.7;0;0;0;0;Matches
33;Fernando Muslera\Fernando-Muslera;uy URU;GK;tr Galatasaray;33;1986;6;6;540;14;2.33;46;34;.739;0;2;4;1;16.7;2;2;0;0;Matches
34;Yvon Mvogo\Yvon-Mvogo;ch SUI;GK;de RB Leipzig;25;1994;1;0;26;0;0.00;2;2;1.000;0;0;0;0;;0;0;0;0;Matches
35;Keylor Navas\Keylor-Navas;cr CRC;GK;fr Paris S-G;32;1986;6;6;540;4;0.67;20;16;.800;4;1;1;4;66.7;1;0;1;0;Matches
36;Neto\Neto;br BRA;GK;es Barcelona;30;1989;1;1;90;1;1.00;7;6;.857;1;0;0;0;0.0;0;0;0;0;Matches
37;Manuel Neuer\Manuel-Neuer;de GER;GK;de Bayern Munich;33;1986;7;7;630;5;0.71;18;14;.778;7;0;0;4;57.1;1;1;0;0;Matches
38;Jan Oblak\Jan-Oblak;si SVN;GK;es Atlético Madrid;26;1993;7;7;630;5;0.71;15;11;.667;4;1;2;4;57.1;0;0;0;0;Matches
39;André Onana\Andre-Onana;cm CMR;GK;nl Ajax;23;1996;6;6;540;6;1.00;28;24;.857;3;1;2;3;50.0;3;2;0;1;Matches
40;David Ospina\David-Ospina;co COL;GK;it Napoli;30;1988;1;1;90;1;1.00;1;0;.000;0;1;0;0;0.0;0;0;0;0;Matches
41;Andriy Pyatov\Andriy-Pyatov;ua UKR;GK;ua Shakhtar;35;1984;6;6;540;13;2.17;32;20;.625;1;3;2;0;0.0;2;1;1;0;Matches
42;Sergio Rico\Sergio-Rico;es ESP;GK;fr Paris S-G;25;1993;1;1;90;0;0.00;0;0;;1;0;0;1;100.0;0;0;0;0;Matches
43;José Sá\Jose-Sa;pt POR;GK;gr Olympiacos;26;1993;6;6;540;14;2.33;34;21;.618;1;1;4;1;16.7;2;1;0;1;Matches
44;Cican Stankovic\Cican-Stankovic;at AUT;GK;at RB Salzburg;26;1992;4;4;303;9;2.67;18;9;.500;1;0;3;0;0.0;0;0;0;0;Matches
45;Wojciech Szczęsny\Wojciech-Szczesny;pl POL;GK;it Juventus;29;1990;6;6;540;5;0.83;20;15;.750;4;1;1;2;33.3;0;0;0;0;Matches
46;Marc-André ter Stegen\Marc-Andre-ter-Stegen;de GER;GK;es Barcelona;27;1992;6;6;540;4;0.67;22;17;.818;3;3;0;2;33.3;1;0;1;0;Matches
47;Maarten Vandevoordt\Maarten-Vandevoordt;be BEL;GK;be Genk;17;2002;1;1;90;4;4.00;3;1;.333;0;0;1;0;0.0;2;2;0;0;Matches
48;Odisseas Vlachodimos\Odisseas-Vlachodimos;gr GRE;GK;pt Benfica;25;1994;6;6;540;11;1.83;27;18;.630;2;1;3;1;16.7;1;1;0;0;Matches
49;Kyle Walker\Kyle-Walker;eng ENG;DF;eng Manchester City;29;1990;1;0;2;0;0.00;1;1;1.000;0;0;0;0;;0;0;0;0;Matches
